name_phylogeny,sd_min,sd_max,sd_mean,ld_min,ld_max,ld_mean,pd_min,pd_max,et_min,et_max,et_mean,st_mean,nt_mean
Mimosa_pithecolobioides,14.000,21.328,16.969,21.000,25.000,23.174,0.204,0.421,0.144,1.000,0.307,,
Mimosa_pringlei_pringlei,11.700,13.500,12.610,15.300,18.000,16.560,0.760,0.760,0.870,0.870,0.870,,
Mimosa_prorepens,10.000,12.600,11.800,12.500,18.000,16.900,,,,,,,
Mimosa_pseudosepiaria,9.000,14.000,10.400,13.000,16.500,14.900,,,0.500,0.500,0.500,,
Mimosa_pteridifolia,10.746,18.100,14.655,17.149,26.300,20.346,0.295,0.453,0.202,0.365,0.284,,
Mimosa_pudica,9.000,11.000,10.100,10.000,11.000,10.400,,,0.500,0.500,0.500,,
Mimosa_quadrivalvis_angustata,27.000,27.000,27.000,30.000,30.000,30.000,1.300,1.300,1.300,1.300,1.300,,
Mimosa_quadrivalvis_diffusa,28.000,28.000,28.000,31.000,31.000,31.000,1.300,1.300,1.300,1.300,1.300,,
Mimosa_quadrivalvis_jaliscensis,30.000,30.000,30.000,36.000,36.000,36.000,1.300,1.300,1.300,1.300,1.300,,
Mimosa_quadrivalvis_nuttallii,26.000,26.000,26.000,29.000,29.000,29.000,1.300,1.300,1.300,1.300,1.300,,
Mimosa_quadrivalvis_occidentalis,27.000,27.000,27.000,30.000,30.000,30.000,1.300,1.300,1.300,1.300,1.300,,
Mimosa_quadrivalvis_paucijuga,30.000,30.000,30.000,35.000,35.000,35.000,0.600,0.600,0.600,0.600,0.600,,
Mimosa_quadrivalvis_platycarpa,29.000,29.000,29.000,33.000,33.000,33.000,1.300,1.300,1.300,1.300,1.300,,
Mimosa_quadrivalvis_quadrivalvis,32.000,32.000,32.000,35.000,35.000,35.000,1.300,1.300,1.300,1.300,1.300,,
Mimosa_quadrivalvis_urbaniana,25.000,25.000,25.000,28.000,28.000,28.000,,,,,,,
Mimosa_regnellii_supersetosa,,,,,,27.000,,,,,,,
Mimosa_rhodostegia,12.500,15.000,13.400,17.500,22.500,20.700,,,,,,,
Mimosa_robusta,39.000,39.000,39.000,47.000,47.000,47.000,1.300,1.300,1.300,1.300,1.300,,
Mimosa_rupigena,12.500,15.000,13.400,17.500,21.300,19.500,,,,,,,
Mimosa_scabrella,8.483,11.905,10.149,13.013,15.601,13.980,0.400,0.807,0.448,0.641,0.545,,
Mimosa_schomburgkii,12.500,20.000,16.100,17.500,43.700,30.000,,,,,,,
Mimosa_sensitiva,,,,7.700,9.600,8.650,,,,,,,
Mimosa_sensitiva_sensitiva,8.000,9.000,8.300,8.000,10.000,8.800,,,1.000,1.000,1.000,,
Mimosa_sericantha,10.000,13.000,11.900,17.200,31.000,23.000,,,,,,,
Mimosa_setosissima,10.000,18.700,12.100,15.000,20.000,17.200,,,,,,,
Mimosa_setuligera,10.000,12.000,10.900,11.500,14.000,12.700,,,1.000,1.000,1.000,,
Mimosa_somnians_somnians,10.000,13.800,12.500,15.000,22.500,20.100,,,1.000,1.000,1.000,,
Mimosa_sousae,10.330,10.330,10.330,14.670,14.670,14.670,1.630,1.630,1.040,1.040,1.040,,
Mimosa_spirocarpa,8.910,12.600,10.530,11.700,15.300,13.680,0.750,0.750,0.870,0.870,0.870,,
Mimosa_spixiana,13.500,18.000,16.000,17.500,22.500,18.200,,,,,,,
Mimosa_strobiliflora,10.783,15.547,13.784,18.320,22.546,20.160,0.753,1.495,0.234,0.431,0.333,,
Mimosa_subenervis,19.000,25.000,21.700,26.000,30.000,28.500,,,1.000,1.000,1.000,,
Mimosa_subinermis,26.000,26.000,26.000,30.000,30.000,30.000,,,,,,,
Mimosa_tandilensis,,,,,,31.000,,,,,,,
Mimosa_tenuiflora,7.800,19.000,14.063,11.000,25.000,20.373,0.200,0.510,0.400,0.610,0.505,,
Mimosa_tetragona,25.000,25.000,25.000,30.000,30.000,30.000,,,,,,,
Mimosa_trianae,12.900,15.000,14.000,13.200,20.000,15.500,,,,,,,
Mimosa_ulbrichiana,19.000,22.000,20.500,25.000,29.000,26.800,,,1.000,1.000,1.000,,
Mimosa_ulei_ulei,7.500,12.500,11.400,17.500,20.000,18.400,,,,,,,
Mimosa_ursina,15.000,17.000,16.000,15.000,22.000,18.150,3.600,3.600,1.700,1.700,1.700,,
Mimosa_velloziana,9.000,11.000,9.900,9.500,11.000,10.400,,,0.500,0.500,0.500,,
Mimosa_verrucosa,8.000,17.400,13.650,15.600,22.500,19.100,,,1.000,1.000,1.000,,
Mimosa_watsonii,14.540,14.540,14.540,20.700,20.700,20.700,0.860,0.860,0.750,0.750,0.750,,
Mimosa_xavantinae,9.000,15.000,13.000,10.000,16.700,14.500,,,,,,,
Mimosa_xiquexiquensis,11.300,15.000,13.000,15.000,18.800,16.600,,,0.500,0.500,0.500,,
Neptunia_prostrata,46.445,55.588,49.881,41.873,51.732,46.130,6.549,11.002,2.460,3.439,2.950,,
Parapiptadenia_blanchetii,22.500,30.000,26.300,25.000,47.500,31.275,,,1.000,1.000,1.000,,
Parapiptadenia_excelsa,,,,,,36.000,,,,,,,
Parapiptadenia_pterosperma,25.000,35.000,29.100,31.500,40.000,37.550,,,,,2.000,1.000,1.000
Parapiptadenia_rigida,,,,,,,,,,,,,
Parapiptadenia_zehntneri,20.000,32.500,26.000,23.800,37.500,30.400,,,1.000,1.100,1.050,,
Piptadenia_adiantoides,12.255,24.000,18.975,18.000,26.000,22.590,0.609,0.934,0.467,0.635,0.551,,
Piptadenia_anolidurus,,,,,,25.000,,,,,,,
Piptadenia_floribunda,,,,,,42.000,,,,,,,
Piptadenia_fruticosa,,,,,,19.000,,,,,,,
Piptadenia_gonoacantha,,,,,,38.000,,,,,,,
Piptadenia_irwinii,15.000,25.000,18.733,17.500,25.000,23.133,,,1.000,1.000,1.000,,
Piptadenia_irwinii_irwinii,,,,,,26.000,,,,,,,
Piptadenia_irwinii_unijuga,,,,,,25.000,,,,,,,
Piptadenia_killipii,,,,,,20.000,,,,,,,
Piptadenia_micracantha,,,,,,19.000,,,,,,,
Piptadenia_minutiflora,,,,,,50.000,,,,,,,
Piptadenia_paniculata,24.103,27.080,25.699,30.910,42.080,35.592,0.635,0.990,0.418,0.669,0.544,,
Piptadenia_polyptera,,,,,,25.000,,,,,,,
Piptadenia_retusa,,,,,,23.000,,,,,,,
Piptadenia_santosii,,,,,,50.000,,,,,,,
Piptadenia_stipulacea,17.500,21.200,19.300,22.500,30.000,23.400,,,1.000,1.000,1.000,,
Piptadenia_trisperma,17.500,25.000,21.300,27.500,27.500,26.250,,,,,,1.000,1.000
Pityrocarpa_moniliformis,13.000,34.100,18.250,17.000,30.800,21.817,1.800,1.800,1.000,1.000,1.000,,
Pityrocarpa_obliqua,22.500,27.500,26.000,27.500,35.000,30.600,,,1.000,1.000,1.000,,
